id,user_id,name,type,primary_color,pattern,material,formality_level,description,type_group
1,1,loafers de jean negro,loafers,negro,rayas,jean,4,"Prenda de jean en tono negro, perfecta para realzar tu look. Su tejido es casual. Presenta un diseño de rayas que aporta personalidad.",shoes
2,1,pantalones_sastre de tweed turquesa,pantalones_sastre,turquesa,rayas,tweed,5,Una pantalones_sastre de tweed color turquesa. Su tejido es británico. Presenta un diseño de rayas que aporta personalidad.,bottom
3,1,pantalones_sastre de tweed blanco,pantalones_sastre,blanco,liso,tweed,4,"Prenda de tweed en tono blanco, perfecta para realzar tu look. Su tejido es texturizado.",bottom
4,1,loafers de jean blanco,loafers,blanco,punto,jean,3,Una loafers de jean color blanco. Su tejido es resistente. Presenta un diseño de punto que aporta personalidad.,shoes
5,1,blazer de lana azul_marino,blazer,azul_marino,punto,lana,4,Una blazer de lana color azul_marino. Su tejido es acogedor. Presenta un diseño de punto que aporta personalidad.,top
6,1,pumps de cuero blanco,pumps,blanco,punto,cuero,5,Una pumps de cuero color blanco. Su tejido es resistente. Presenta un diseño de punto que aporta personalidad.,shoes
7,1,camisa de algodon blanco,camisa,blanco,punto,algodon,5,Esta camisa de algodon blanco combina estilo y comodidad. Su tejido es suave. Presenta un diseño de punto que aporta personalidad.,top
8,1,pantalones_sastre de lana rojo,pantalones_sastre,rojo,liso,lana,5,"Prenda de lana en tono rojo, perfecta para realzar tu look. Su tejido es acogedor.",bottom
9,1,pumps de lino gris,pumps,gris,punto,lino,3,Esta pumps de lino gris combina estilo y comodidad. Su tejido es ligero. Presenta un diseño de punto que aporta personalidad.,shoes
10,1,loafers de lana rosa,loafers,rosa,punto,lana,2,"Prenda de lana en tono rosa, perfecta para realzar tu look. Su tejido es cálido. Presenta un diseño de punto que aporta personalidad.",shoes
11,1,camisa de jean gris,camisa,gris,punto,jean,5,Esta camisa de jean gris combina estilo y comodidad. Su tejido es casual. Presenta un diseño de punto que aporta personalidad.,top
12,1,pantalones_sastre de cuero blanco,pantalones_sastre,blanco,liso,cuero,5,Una pantalones_sastre de cuero color blanco. Su tejido es resistente.,bottom
13,1,camisa de jean violeta,camisa,violeta,punto,jean,5,Esta camisa de jean violeta combina estilo y comodidad. Su tejido es resistente. Presenta un diseño de punto que aporta personalidad.,top
14,1,loafers de sintetico blanco,loafers,blanco,punto,sintetico,3,Una loafers de sintetico color blanco. Su tejido es económico. Presenta un diseño de punto que aporta personalidad.,shoes
